loss,kl
1.2980668544769287,3.3417272015674557
1.3150209188461304,5.909090933032291
1.1907118558883667,3.561489767299491
1.2502940893173218,0.7143466268713765
1.1520472764968872,2.79066473765944
1.1831495761871338,1.037872966598325
1.1195147037506104,1.5530354161756748
1.205822229385376,3.62048006413763
1.1365834474563599,3.655730479508952
1.2295833826065063,3.6414774449943543
1.1581857204437256,2.7422400517454966
1.1281119585037231,1.0242660730605537
1.1292811632156372,2.0290742945572884
1.1448076963424683,0.5008334466119911
1.2457548379898071,3.0767522427384804
1.147155523300171,2.4852096837213717
1.249812364578247,0.7143466268713765
1.144080400466919,2.051986783101773
1.1935887336730957,1.1479248665337576
1.198188304901123,3.677865116540064
1.1507768630981445,0.32676711354369337
1.1377326250076294,1.259105864386509
1.2313388586044312,0.3682759288279356
1.2557272911071777,2.7105421952681583
1.2488653659820557,4.747199045410198
1.1743460893630981,2.7672498044652913
1.1875367164611816,4.521482074925365
1.316106915473938,5.909090933032291
1.165561318397522,0.4502835537599251
1.1506918668746948,1.9855115347680043
1.2464884519577026,3.0767522427384804
1.1586265563964844,3.179457989906191
1.137839913368225,1.33159107428099
1.2314170598983765,1.3738801161508345
1.1456565856933594,0.476105238899375
1.2197431325912476,0.4150361505250764
1.219810962677002,6.676936709001261
1.1389591693878174,1.33159107428099
1.22077214717865,6.676936709001261
1.1281720399856567,1.0242660730605537
1.2494982481002808,0.7143466268713765
1.2799029350280762,7.113088530748267
1.1357625722885132,1.4668448870702875
1.2947663068771362,3.5649976088049806
1.1657150983810425,1.864314941080616
1.209293007850647,3.58516828637401
1.1539698839187622,1.6009693037828054
1.215376615524292,0.4395768925489736
1.1330645084381104,2.2830811765400276
1.2021522521972656,5.032313694522317
1.136359453201294,1.8604766430987567
1.132064938545227,4.271014372165196
1.2501637935638428,0.7143466268713765
1.1814600229263306,2.407802694647298
1.1524404287338257,3.629152639142514
1.155382752418518,2.0351112035430297
1.139247179031372,1.33159107428099
1.1320093870162964,2.3185380986256225
1.153578281402588,1.271781765597306
1.1741671562194824,2.7672498044652913
1.2131038904190063,2.372580041855361
1.1408177614212036,3.271394563337613
1.144629955291748,0.5008334466119911
1.2144899368286133,0.4395768925489736
1.1664652824401855,3.2840322784005918
1.1707003116607666,2.7389295861032052
1.1304949522018433,2.8273514373886206
1.2308446168899536,1.3738801161508345
1.1647310256958008,0.4502835537599251
1.1559803485870361,2.0960273669602705
1.1258468627929688,0.8086962672411744
1.12993586063385,2.4756396438119266
1.1247888803482056,0.7688190370935472
1.2981358766555786,4.442191068324649
1.2152740955352783,0.4395768925489736
1.13005793094635,2.1828416058744073
1.2072710990905762,2.4801757083427907
1.2555066347122192,3.3659182833802306
1.1580694913864136,2.9234488241257472
1.183543086051941,1.037872966598325
1.1852731704711914,2.6688930902783525
1.2328444719314575,1.2262384184320498
1.128003478050232,1.8195150445176775
1.2202675342559814,6.676936709001261
1.1395550966262817,1.33159107428099
1.1795661449432373,1.1053911634323907
1.184477686882019,2.659053838809232
1.1825323104858398,1.037872966598325
1.1345751285552979,1.6302931871183433
1.265010952949524,1.389179540719325
1.165276288986206,4.782503425251251
1.1347564458847046,2.510694701340966
1.1835006475448608,4.307580522330424
1.1854422092437744,0.38444827014659166
1.2314658164978027,1.3738801161508345
1.2084006071090698,4.194073046909177
1.1388211250305176,1.33159107428099
1.1388081312179565,1.33159107428099
1.2800884246826172,7.113088530748267
1.1653307676315308,3.5271715102227374
